Source,Target,Type
AMASIKANIKENYA,@williamsruto,Mention
RoseNavalayo1,@railaodinga,Mention
RoseNavalayo1,@williamsruto,Mention
DaView_k,@railaodinga,Mention
DaView_k,@williamsruto,Mention
simiyujp,@railaodinga,Mention
simiyujp,@williamsruto,Mention
NoelRotich,@railaodinga,Mention
NoelRotich,@williamsruto,Mention
TSetanei,@railaodinga,Mention
TSetanei,@williamsruto,Mention
chelombochet,@railaodinga,Mention
chelombochet,@williamsruto,Mention
EBiegon,@railaodinga,Mention
EBiegon,@williamsruto,Mention
Kihoti001,@railaodinga,Mention
Kihoti001,@williamsruto,Mention
DidmusWaBarasa,@railaodinga,Mention
DidmusWaBarasa,@williamsruto,Mention
josephayienda1,@williamsruto,Mention
MwanziaDennis,@williamsruto,Mention
cheroiginC,@williamsruto,Mention
Permie21,@williamsruto,Mention
HOMEBUSINESSIN6,@williamsruto,Mention
Shadrac59769370,@williamsruto,Mention
senatorkipkemoi,@williamsruto,Mention
lastiebonnie,@williamsruto,Mention
Sir_Rawlings,@williamsruto,Mention
PropaGandist047,@gunnerafrican,Mention
PropaGandist047,@husseinmohamedg,Mention
PropaGandist047,@sakajajohnson,Mention
PropaGandist047,@udakenya,Mention
bkipsongol,@williamsruto,Mention
David___Mbugua,@williamsruto,Mention
martinwaithaka8,@williamsruto,Mention
terry_treaza,@williamsruto,Mention
lord_ofmischief,@williamsruto,Mention
SiunduHesborn,@williamsruto,Mention
KinyuaWaIrungu,@williamsruto,Mention
henriqueokinyi1,@williamsruto,Mention
anyanyakegode,@williamsruto,Mention
Sam54prync,@williamsruto,Mention
Martcharismatic,@gunnerafrican,Mention
Martcharismatic,@husseinmohamedg,Mention
Martcharismatic,@sakajajohnson,Mention
Martcharismatic,@udakenya,Mention
Its_Georgy,@williamsruto,Mention
BillowIsmail,@williamsruto,Mention
kelvin_mwebia,@gunnerafrican,Mention
kelvin_mwebia,@husseinmohamedg,Mention
kelvin_mwebia,@sakajajohnson,Mention
kelvin_mwebia,@udakenya,Mention
samgtheuri,@williamsruto,Mention
MWALIMU_AMUNGA,@gunnerafrican,Mention
MWALIMU_AMUNGA,@husseinmohamedg,Mention
MWALIMU_AMUNGA,@sakajajohnson,Mention
MWALIMU_AMUNGA,@udakenya,Mention
