Id,Label,twitter_author_id,gender,city
41,KaranjaNjau,7.839496701208207e+17,male,Nakuru
42,dkoech79,7.962291316629791e+17,male,Nairobi
43,nya20sa1,1.3141672162759393e+18,male,Nairobi
44,KenyaKwanza2022,1.2409192306122138e+18,female,Nairobi
45,254Mish,4392898757.0,prefer not to say,Nairobi
46,kiruiericky,2906803496.0,male,Nakuru
47,Mwaistanley2,9.53297736924885e+17,male,Nairobi
48,tituskimanthi,585863716.0,male,Nairobi
49,evansktoo15,7.038467146338796e+17,prefer not to say,Naivasha
50,Tonipassiany,566181766.0,male,Nairobi
51,LangatBismark1,1.1413574013098968e+18,prefer not to say,Nairobi
52,Honkorirsammy,1.20750209941785e+18,male,Nairobi
53,KalyaGs,1.2769960069876613e+18,prefer not to say,Mombasa
54,Robaa82,501725961.0,prefer not to say,Nairobi
55,Kerichmarley,487523593.0,female,Nakuru
56,BelioSturridge,1.500779673806123e+18,male,Kisumu
57,AMASIKANIKENYA,257944100.0,prefer not to say,Nairobi
58,RoseNavalayo1,1.5095435612425912e+18,prefer not to say,Nairobi
59,DaView_k,1.0329622638194116e+18,male,Nairobi
60,simiyujp,264175421.0,male,Nairobi
61,NoelRotich,1249246260.0,male,Nairobi
62,TSetanei,1091292192.0,prefer not to say,Nairobi
63,chelombochet,1.1966503835333632e+18,prefer not to say,Nairobi
64,EBiegon,562733409.0,prefer not to say,Nairobi
65,Kihoti001,1.5000441717338317e+18,prefer not to say,Nairobi
66,DidmusWaBarasa,9.551878535370056e+17,prefer not to say,Nairobi
67,josephayienda1,1.4103142043771249e+18,male,Kisii
68,MwanziaDennis,390840884.0,prefer not to say,Nairobi
69,cheroiginC,1.3017957533634191e+18,male,Nairobi
70,Permie21,2926864057.0,prefer not to say,Nairobi
71,HOMEBUSINESSIN6,1.4708675879951565e+18,prefer not to say,Nairobi
72,Shadrac59769370,7.651750999306035e+17,prefer not to say,Nairobi
73,senatorkipkemoi,1.2685049669410202e+18,male,Nairobi
74,lastiebonnie,1.3396383705578988e+18,prefer not to say,Nairobi
75,Sir_Rawlings,216069518.0,prefer not to say,Nairobi
76,PropaGandist047,1.2989716776997724e+18,male,Nairobi
77,bkipsongol,1324395618.0,male,Nakuru
78,David___Mbugua,1.2622578228862523e+18,male,Nairobi
79,martinwaithaka8,7.247057754955694e+17,prefer not to say,Nairobi
80,terry_treaza,1.4418163697884529e+18,prefer not to say,Nairobi
81,lord_ofmischief,517331956.0,prefer not to say,Nairobi
82,SiunduHesborn,7.955981754993869e+17,prefer not to say,Nairobi
83,KinyuaWaIrungu,279613200.0,prefer not to say,Nyeri
84,henriqueokinyi1,1.3012029662931558e+18,male,Thika
85,anyanyakegode,140357253.0,male,Nairobi
86,Sam54prync,9.775493946555392e+17,prefer not to say,Nairobi
87,Martcharismatic,1.4632515535113708e+18,male,Nairobi
88,Its_Georgy,7.850387006527488e+17,male,Nakuru
89,BillowIsmail,1295032579.0,male,Nairobi
90,kelvin_mwebia,9.54251091771908e+17,prefer not to say,Nairobi
91,samgtheuri,124429124.0,prefer not to say,Unknown
92,MWALIMU_AMUNGA,2246570950.0,prefer not to say,Nairobi
93,Araap_Ruto,9.516724043964292e+17,prefer not to say,Nairobi
94,MakokhaDr,1.0448835777988936e+18,prefer not to say,Mombasa
95,Upendo_Andrew,1.1388619733267825e+18,male,Nairobi
96,TheHamara,1.2780920770044682e+18,male,Nairobi
97,gcmm86,325399052.0,male,Unknown
98,mosebu,39303612.0,prefer not to say,Nairobi
99,jkenyakwanza,9.144160131643844e+17,prefer not to say,Thika
